title,description,link,imageUrl,createDate,updateDate
sample01,画像、youtube動画の一覧を表示するデザイン。,/sample01,https://i.gyazo.com/f8bf59f059fe478e8ff969dc2cbaf0b9.png,24/09/01,24/09/01
sample02,アイテムのデザインサンプル。,/sample02,https://i.gyazo.com/505fc3f175597de655ce21fb4d66bf2c.png,24/09/07,24/09/07
sample03,UIデザインのサンプル。,/sample03,https://i.gyazo.com/9c7b05fb293966a6c6df9d1ba92dcd20.png,24/09/14,24/09/14
sample04,Iframeを使用したサンプル,/sample04,https://i.gyazo.com/e16646d1d51aeca0c0e1184c8f6809c0.png,24/09/21,24/09/21
sample05,論文式のデザイン,/sample05,https://i.gyazo.com/95ff528e350455a72aa1294fd79d62e7.png,24/10/10,24/10/10
sample06,完了画面,/sample06,https://i.gyazo.com/c67c8124971171f044ea40b225878fd7.png,24/10/14,24/10/14
sample07,SNSイメージ画面,/sample07,https://i.gyazo.com/e72cd970e4c0450d6f81e2e451350a40.png,24/11/16,24/11/16
sample08,建築アトリエサンプル,/sample08,https://i.gyazo.com/29c5dd2111e52ea6aee157372b77cb37.png,24/12/24,24/12/24
sample09,トレーニングメニューフォーム,/sample09,https://i.gyazo.com/8009e83ef65b116b368c11704f4e8627.png,25/03/02,25/03/02
sample10,健康情報一覧のデザイン,/sample10,https://i.gyazo.com/d87a81e8586d03cffc7da75774357c78.png,25/03/20,25/03/20
sample11,介護支援サービスデザイン,/sample11,/sample01.svg,25/05/12,25/05/13